,waste_per_capita,population,rank
Luxembourg,165.456147809464,625978.0,N/A
Malta,102.25324815647805,441543.0,N/A
Singapore,74.88292474038823,5850342.0,1
Australia,56.888360863402056,25499884.0,2
Netherlands,55.059466026324266,17134872.0,3
Belgium,54.44773283085187,11589623.0,4
Hong Kong,54.07052867766876,7496981.0,5
Israel,53.485231430625845,8655535.0,6
Oman,53.366302232686216,5106626.0,7
Switzerland,52.198119002348996,8654622.0,8
United States,51.94000863351769,331002651.0,9
United Arab Emirates,51.10516793879623,9890402.0,10
Chile,48.34085266861091,19116201.0,11
Djibouti,46.062387350731015,988000.0,N/A
South Korea,43.916600058557165,51269185.0,12
United Kingdom,42.61347345010813,67886011.0,13
Kuwait,39.302602686809216,4270571.0,14
New Zealand,38.667701548555264,4822233.0,15
Finland,37.99277086603502,5540720.0,16
Ireland,37.74372425943656,4937786.0,17
Japan,37.247468162130126,126476461.0,18
France,35.525497632010186,65273511.0,19
Slovenia,34.62083548467295,2078938.0,20
Czech Republic,34.25612860523716,10708981.0,21
Spain,33.9302304727348,46754778.0,22
Canada,33.45528582044927,37742154.0,23
Saudi Arabia,33.25132020157276,34813871.0,24
Montenegro,33.16211990459602,628066.0,N/A
Denmark,32.7238342371124,5792202.0,25
Sweden,31.852105834863057,10099265.0,26
Austria,30.899059114478508,9006398.0,27
Norway,26.348845884064357,5421241.0,28
Uruguay,25.14742100587815,3473730.0,29
Portugal,25.047653380268866,10196709.0,30
Greece,24.70378818060258,10423054.0,31
Poland,23.386505741423875,37846611.0,32
Italy,22.986323268380463,60461826.0,33
Costa Rica,22.48353265830529,5094118.0,34
Latvia,22.41763962203906,1886198.0,35
Lithuania,22.074710762317345,2722289.0,36
Germany,21.68232055603976,83783942.0,37
Croatia,21.681019991947466,4105267.0,38
Slovakia,20.96982603343003,5459642.0,39
Hungary,20.44707391560841,9660351.0,40
Vietnam,19.482946501455356,97338579.0,41
El Salvador,18.99887185722594,6486205.0,42
Qatar,18.994006807910644,2881053.0,43
Thailand,17.98365387427543,69799978.0,44
China,17.599478218831496,1439323776.0,45
Belarus,17.098362279706652,9449323.0,46
Mexico,16.875522511708382,128932753.0,47
Taiwan,16.427928474495605,23816775.0,48
Malaysia,15.852220396291223,32365999.0,49
Russian Federation,15.781475368665639,145934462.0,50
Lebanon,15.403845581359846,6825445.0,51
