Producer name,City,Country,Region,city_lat,city_lon,lat,lon
ABU DHABI NATIONAL OIL COMPANY (ADNOC),Aliaga,Turkey,Greater Europe,38.799561,26.97074,24.4619703,54.32421249999999
ABU DHABI NATIONAL OIL COMPANY (ADNOC),Bandar Imam,Iran,Middle East,30.4472068,49.0716096,24.4619703,54.32421249999999
ABU DHABI NATIONAL OIL COMPANY (ADNOC),Cartagena,Colombia,Latin America and the Caribbean,10.3932277,-75.4832311,24.4619703,54.32421249999999
ABU DHABI NATIONAL OIL COMPANY (ADNOC),Daesan,South Korea,Asia,36.9395813,126.4343234,24.4619703,54.32421249999999
ABU DHABI NATIONAL OIL COMPANY (ADNOC),Hualpen,Chile,Latin America and the Caribbean,-36.7866757,-73.1099531,24.4619703,54.32421249999999
ABU DHABI NATIONAL OIL COMPANY (ADNOC),Kalush,Ukraine,Greater Europe,49.0414259,24.3950384,24.4619703,54.32421249999999
ABU DHABI NATIONAL OIL COMPANY (ADNOC),Pancevo,Serbia,Greater Europe,44.874,20.6475673,24.4619703,54.32421249999999
ABU DHABI NATIONAL OIL COMPANY (ADNOC),Panjin,China,Asia,41.119997,122.070714,24.4619703,54.32421249999999
ABU DHABI NATIONAL OIL COMPANY (ADNOC),Paulinia,Brazil,Latin America and the Caribbean,-22.7409594,-47.174281,24.4619703,54.32421249999999
ALCO-NAPHTHA ZAO,Al Jubail,Saudi Arabia,Middle East,26.9597709,49.5687416,26.9597709,49.5687416
ARABIAN INDUSTRIAL FIBERS - IBN RASHD COMPANY,Salalah,Oman,Middle East,17.0193843,54.11075049999999,23.9893761,38.2453926
ARYA SASOL POLYMER CO,Bandar Imam,Iran,Middle East,30.4472068,49.0716096,27.5423248,52.554539
ARYA SASOL POLYMER CO,Pars Special Economic Energy Zone,Iran,Middle East,27.5139054,52.5758902,27.5423248,52.554539
Advanced Petrochemical Co,Marcus Hook,United States,North America,39.8192794,-75.4185272,27.0055321,49.551924
Advanced Petrochemical Co,Seadrift,United States,North America,28.4152807,-96.7135933,27.0055321,49.551924
Alpek SAB de CV,Anyang,China,Asia,36.097577,114.392392,25.6369466,-100.3613688
Alpek SAB de CV,Apple Grove,United States,North America,38.66508350000001,-82.1690337,35.08897290000001,-80.8471921
Alpek SAB de CV,Changzhou,China,Asia,31.811226,119.974061,25.6369466,-100.3613688
