Owner Name	Sum of 2019 Production	Sum of 2019 Production2	Sum of 2025 Production	Sum of 2025 Production2
Sinopec	11325.74977	0.05568966399	16186.44286	0.05449127207
ExxonMobil	11324.78194	0.0556849051	13733.66889	0.04623406726
LyondellBasell	9986.376227	0.04910385165	11227.62789	0.0377975403
PetroChina	8570.320713	0.04214098761	10060.78378	0.03386938756
Dow	8280.848173	0.04071762679	8269.918156	0.02784048133
SABIC	6099.307924	0.02999080994	7727.653447	0.02601496018
Reliance Industries	5369.94474	0.02640446984	4743.004122	0.01596720974
INEOS	4861.959979	0.02390666605	4553.789887	0.01533022455
Indorama	4650.803395	0.02286839137	5403.0295	0.01818916936
Total	4371.561891	0.02149533742	4937.013514	0.01662033771
Formosa Plastics Group	4106.106579	0.02019007133	5578.353669	0.01877939397
Saudi Aramco	3756.701027	0.01847201485	8626.091532	0.02903953047
Shenhua	3274.771634	0.0161023275	4875.036301	0.01641169291
Lotte Chemical	2703.665469	0.01329415046	2918.144512	0.009823863584
Alpek SA de CV	2512.460043	0.0123539773	2961.0325	0.009968244967
Odebrecht	2400.112448	0.01180155473	2307.692655	0.007768792033
Petrobras	2262.246981	0.01112365864	2175.135897	0.007322542882
Private Investors	2087.882798	0.01026629529	2299.193855	0.007740181026
Mubadala	2011.396381	0.009890205142	2078.102436	0.006995882063
Borealis	2007.920978	0.009873116291	4075.616704	0.01372046599
ADNOC	2007.920978	0.009873116291	3054.675	0.0102834902
PTT 	1960.563213	0.00964025418	3116.983906	0.01049325164
Siam Cement Group 	1906.53434	0.009374589667	2959.171	0.009961978272
Mitsubishi Chemical Corporation	1751.877598	0.008614129463	1779.751309	0.005991490142
Hanwha Chemical	1722.315624	0.008468770751	1813.6372	0.006105566181
China Coal	1718.249702	0.00844877827	2651.134314	0.00892498015
Jiangsu Sanfangxiang Group 	1707.58272	0.008396327822	1286.089691	0.00432959013
FENC	1681.363976	0.008267408052	1775.983064	0.005978804432
Sumitomo Group	1638.615232	0.008057208885	1561.643863	0.00525723665
Phillips 66	1637.015281	0.008049341789	1506.567988	0.005071825037
Chevron Corporation	1560.682194	0.007674005586	1634.72614	0.005503266382
Yanchang Group	1427.663222	0.007019940115	1766.117375	0.005945591827
China Resources	1382.328868	0.006797027284	1408.574423	0.004741932047
Chevron Philips	1349.229836	0.006634276558	2151.454406	0.007242819711
Sasol	1255.35802	0.006172700948	1632.155605	0.00549461274
LG Corporation 	1247.933999	0.006136196411	2063.535758	0.006946843689
Repsol	1192.829016	0.005865240576	1154.527167	0.003886688046
SIBUR	1179.698416	0.005800676312	3458.669052	0.0116435265
Indian Oil Corporation	1170.714865	0.005756503435	3033.800163	0.01021321556
Lotte Corporation 	1160.867377	0.005708082507	1037.404798	0.003492398396
OMV	1131.410464	0.005563240392	1168.93262	0.00393518366
Braskem 	1091.69152	0.005367939003	968.33792	0.003259886407
Westlake Chemical Corporation	1085.432926	0.005337164969	1012.080112	0.003407143448
Braskem	1047.752719	0.005151888225	1146.765721	0.003860559326
ENI	1029.43675	0.005061827064	987.9069092	0.003325764941
Bakhtar Petrochemical	1023.064405	0.005030493709	1034.358824	0.003482144197
Zhejiang Zhunk Group	1016.418286	0.00499781418	1500.437972	0.005051188485
MOL	1016.386103	0.004997655935	960.95	0.003235015151
Gas Authority of India	1000.356403	0.004918836552	1319.117661	0.004440778002
Mitsui	986.555156	0.00485097466	1054.094194	0.00354858285
International Petroleum Investment Company - (IPIC)	982.8585663	0.004832798218	1119.375	0.003768349118
Jiangyin Chengxing Industrial Group	975.7615542	0.004797901613	734.9083946	0.002474051503
National Petrochemical Company (Petrochem)	975.2523064	0.004795397598	908.05	0.003056928569
KPIC Corporation 	878.2113606	0.004318239107	804.1872807	0.002707277213
PKN Orlen	877.5747337	0.00431510876	1050.25	0.003535641462
Tasnee	874.7700723	0.004301318004	817.9704	0.002753677754
TAIF Group	872.9768071	0.004292500368	1556.31164	0.005239285847
Shell	808.3844739	0.003974894434	2080.71605	0.00700468073
CNOOC	808.3844739	0.003974894434	1679.164994	0.005652868721
ONGC	806.1045575	0.003963683894	720.4091315	0.002425240081
SPDC	722.3367929	0.003551790751	684.5	0.00230435285
SK Innovation Co 	722.2693091	0.003551458928	636.5342709	0.002142877372
JBF	709.8850547	0.003490564507	736.9815075	0.002481030587
Nihon Singapore Polyolefin,	685.9478261	0.003372863141	617.4	0.002078462308
Daelim Group	674.6668699	0.003317393731	599.0484773	0.002016682346
Saudi Kayan	669.6290896	0.003292622542	630.5	0.002122563144
Oriental Energy	668.012558	0.00328467392	2148.36012	0.007232402871
Baofeng	648.0906389	0.003186716168	886.2549143	0.002983555935
North Huajin	633.1415366	0.003113210176	541.014671	0.001821312928
Industries Qatar	624	0.003068260471	611.52	0.002058667428
Zhejiang RongSheng Group	622.0479908	0.003058662278	826.7728626	0.002783311033
Zhejiang Hengyi Group	622.0479908	0.003058662278	826.7728626	0.002783311033
Pucheng Clean Energy	603.6935726	0.00296841206	519.8546043	0.00175007807
Rongsheng Group	584.5109883	0.00287408968	2723.876849	0.009169866149
Fund Energy	584.5109883	0.00287408968	537.09003	0.001808100718
Nan Ya	576.240193	0.002833421484	570.484026	0.001920520805
Sahara Petrochemicals	557.21338	0.002739865045	521.2296	0.00175470696
Bazan Group	543.8880227	0.002674343143	516.75	0.001739626494
PT Barito Pacific	543.0091276	0.002670021542	1295.75376	0.004362123988
Xingxing	501.0094185	0.00246350544	460.3628829	0.001549800615
Sanyuan	501.0094185	0.00246350544	460.3628829	0.001549800615
Jiangsu Pengcheng Chemical	501.0094185	0.00246350544	460.3628829	0.001549800615
SOCAR	485.4389717	0.002386944244	1053.609991	0.003546952792
Ecopetrol S.A.	482	0.002370034531	469.6	0.001580897149
Advanced Petrochemical	477.2286615	0.002346573458	770	0.002592186551
Idemitsu Kosan	470.6001506	0.002313980513	462.6281593	0.001557426614
M&G	468.7875011	0.002305067563	502.3188927	0.001691044517
Petronas	458.7869113	0.002255893822	957.8	0.003224410752
DuPont de Nemours & Company	449.5929023	0.002210686106	419.3914406	0.001411871237
Yansab	448.1923405	0.002203799426	420.063	0.001414132025
Hyosung Corporation	425.7632339	0.002093513623	874.8	0.002944993241
SK Global Chemical	418.9644419	0.002060083391	587.494859	0.001977787367
Luqing Group	417.5078488	0.0020529212	915.3483788	0.003081498386
USI Group	414.2403101	0.002036854438	378.8	0.001275221124
Neo Group	405.961545	0.001996147054	403.1194106	0.001357091837
Mesaieed Petrochemical Holding Company	405.1575046	0.001992193519	419.44	0.001412034711
Petro Rabigh	398.1279742	0.001957628727	391.85	0.001319153637
Gatron Industries Ltd	398.0989908	0.001957486213	313.317393	0.001054775497
KKR & Inc.	397.6470588	0.001955264026	324	0.001090738237
PIC	395.5289431	0.001944849073	395.31375	0.001330814268
Lukoil	387.4960984	0.0019053509	1198.565213	0.004034941074
Dhunseri Petrochem	384.5768751	0.001890996834	568.4072709	0.001913529459
Datang Group	384.1072209	0.001888687504	352.9448769	0.001188180472
Shinkong	382.7381915	0.001881955872	326.5749527	0.001099406754
Prime Polymer	379.9689776	0.001868339414	330	0.001110937093
Jiutai Energy	378.4279887	0.001860762242	481.4910307	0.001620928019
Hua Kee Group and Bangkok Bank	373.484375	0.001836454078	476.685	0.001604748632
NPC	357.8432485	0.001759545343	330.6794118	0.001113224317
Qenos Olefins Pty	351.5	0.001728355057	328.3842	0.001105497541
JG Summit Holdings	343.989916	0.001691427342	610.4553846	0.002055083426
Turkmengaz	342.9929508	0.001686525181	350.4695357	0.001179847295
Octal	341.4573323	0.001678974416	517.3771121	0.001741737652
Siam Polyethylene	326.8571429	0.001607184056	288.75	0.0009720699568
Zhejiang Satellite	326.6855935	0.001606340534	1300.777779	0.004379037227
Bank Refah Kargaran	326.3383044	0.001604632884	300.7465882	0.001012456184
Koch Industries	321.5134845	0.001580908839	297.5	0.001001526622
QAPCO	312.79626	0.001538045513	296.352	0.0009976619077
Justice Shares Broker	304.6076447	0.001497781403	340.2858572	0.001145564185
Zhejiang Hongji Petrochemical	300.6056511	0.001478103264	276.2177297	0.0009298803691
Equipolymers	295.24476	0.001451743312	293.1777532	0.0009869758818
Marun Petrochemical	294.910951	0.001450101945	378.7252659	0.001274969534
QPI and Shell Petrochemicals (Singapore) Pte.	293.9776398	0.001445512775	264.6	0.0008907695604
Uzbekneftegaz	258.6252527	0.001271682115	556.1231526	0.001872175269
KAP Industrial Holdings	255.8700165	0.001258134387	218.8	0.0007365849577
Gazprom	254.4810045	0.001251304498	2299.667245	0.007741774683
SPI International	254.2139104	0.001249991174	238.2794118	0.0008021619307
Jinling Plastic	250.5047093	0.00123175272	230.1814414	0.0007749003076
Hebei Haiwei	250.5047093	0.00123175272	383.6357357	0.001291500513
Haitian Group	250.5047093	0.00123175272	421.9993093	0.001420650564
Chenxi Petrochemical	250.5047093	0.00123175272	230.1814414	0.0007749003076
Grand Resource	248.4457665	0.001221628725	920.7257657	0.00309960123
ORPIC	245	0.001204685602	1145.878836	0.003857573648
Petroleos Mexicanos	244.3306452	0.001201394328	297.7	0.001002199917
Henan Coal Chemical Industry Group	243.9403886	0.001199475403	489.9389297	0.001649367668
Tamin Oil & Gas Petrochemical Investment	243.9239369	0.001199394509	303.6144107	0.001022110639
Yokkaichi MDI	243.3290987	0.001196469639	221.4	0.0007453377954
Asahi Kasei Chemicals Corporation	238.8652825	0.00117452068	230.76	0.0007768480112
The SorosChatterjee Group 	236.2140383	0.001161484289	206.1790607	0.0006940968681
Government of West Bengal 	236.2140383	0.001161484289	206.1790607	0.0006940968681
Mittal Energy Investment Pte Ltd	233.9376012	0.001150290856	883.1768992	0.002973193871
Hindustan Petroleum Corporation Limited (HPCL)	233.9376012	0.001150290856	883.1768992	0.002973193871
Tosoh	233.7894186	0.00114956223	221.32	0.0007450684774
STPC	230.5841279	0.001133801547	349.3817204	0.001176185191
Sailboat	227.7419389	0.001119826264	238.4792715	0.0008028347536
Iranian National Pension Investment	222.2963341	0.001093049767	282.6638304	0.0009515810128
Full Apex (Holdings) Limited 	219.5463497	0.001079527863	165.3543888	0.0005566615881
Alujain	219.1434014	0.001077546532	202.048	0.0006801897511
Pinnacle Polymers Company	215.8733396	0.001061467363	199.75	0.0006724535892
PT Tirtamas Majutama	214.3265732	0.001053861783	194.4	0.0006544429423
Rosneft	209.7896731	0.001031553463	992.3680089	0.003340783126
Egyptian Petrochemicals Holding Company	206.2768923	0.001014280825	268.875	0.0009051612455
Alco-Naphtha	204.9240976	0.001007629019	153.4358974	0.0005165382725
TK Chemical	201.7415621	0.000991980225	164.5586304	0.0005539826867
PetroVietnam	199.5448679	0.000981178895	198.7578	0.0006691133716
Xianglu Dragon Group	195.1523108	0.0009595803225	146.9816789	0.0004948103005
GOSI	194.0770666	0.0009542932564	181.1868	0.0006099610211
SIPCHEM	192.915331	0.0009485809045	188	0.0006328974957
Novapet	188.6285967	0.0009275026714	187.308009	0.0006305679245
Carbon Holdings	188.3643899	0.0009262035445	1555.65	0.005237058453
SOCAR & Turcas Petrokimya	187.527	0.0009220860279	336.8978405	0.001134158508
Celanese Corporation	184.8613642	0.0009089788726	174.8073595	0.0005884847876
Shengyang Paraffin	181.6124407	0.0008930036424	139.3544258	0.0004691333357
Petkim Petrokimya	180.173	0.0008859257915	323.6861605	0.001089681704
Grupo Idesa	178.3971774	0.0008771939225	190.875	0.0006425761143
Gail (India)	172.90477	0.0008501872933	146.9488708	0.0004946998529
Showa Denko K.K. (SDK)	171.2557465	0.0008420789065	168.9103049	0.0005686324945
JX Nippon Oil & Energy Corporation (JX)	171.2557465	0.0008420789065	168.9103049	0.0005686324945
Tokuyama Corporation	168.310316	0.0008275959769	166.0052137	0.0005588525745
Oriental Petrochemicals Company	167.4350133	0.0008232920396	162	0.0005453691186
Yuhuang Group	167.0031395	0.00082116848	298.0278894	0.001003303749
Sinochem	167.0031395	0.00082116848	790.6395901	0.002661669237
Shenda Chemical	167.0031395	0.00082116848	153.4542943	0.0005166002051
Iranian Civil Retirement Investment Fund	166.5092071	0.0008187397728	232.9218304	0.0007841257616
Sonatrach	163.0063331	0.0008015158467	1599.091849	0.005383304398
Hosaf 	158.1323129	0.0007775498798	211.2840608	0.0007112827284
Carmel Olefins	156.8395581	0.0007711932957	147.3969879	0.0004962084284
Singapore Petrochemical Investment Ettehad	155.4440072	0.0007643312543	138.6	0.0004665935793
Poliolefinas Internacionales	153.099378	0.0007528025155	226.5	0.0007625068232
TPI Polene	152.229319	0.0007485243623	151.68	0.0005106270859
BASF	151.8279593	0.0007465508427	158.986181	0.0005352231691
Arabian Industrial Fibres Company	150.401912	0.0007395388485	227.8894009	0.0007671842082
PlastiVerd	143.5217583	0.0007057085544	142.5169633	0.0004797799425
ETHYDCO	143.0878153	0.0007035748201	118.17	0.0003978164737
Shanghai Energy	142.2264217	0.0006993392753	130.0307629	0.000437745448
Beaulieu International Group	140.2434938	0.0006895890519	146.6649132	0.0004937439165
KazMunaiGas	139.8853097	0.0006878278308	345.7996363	0.001164126191
Qinghai Salt Lake Company	133.6025116	0.000656934784	122.7634354	0.0004132801641
Baota Group	133.6025116	0.000656934784	260.8723003	0.0008782203486
Persian Gulf Petrochemical	128.8557726	0.0006335946694	120.2345294	0.0004047666625
Sidi Kerir Petrochemicals	128.1782008	0.0006302629918	352.6875	0.001187314019
Anhui coal	127.865509	0.00062872546	256.2076301	0.0008625168481
 Singapore Economic Development Board Investments	127.5	0.0006269282213	99.45	0.0003347960423
Imperial Oil	126.4043383	0.0006215407604	123.12	0.0004144805301
Navid Zar Chemical Industrial Company	125.5147325	0.0006171664938	115.6717647	0.0003894062245
Yunnan Yuntianhua Petrochemical	125.2523546	0.00061587636	115.0907207	0.0003874501538
Wuliangye Group	121.9701943	0.0005997377016	91.86354933	0.0003092564378
Jiangsu Baosheng Polyester 	121.9701943	0.0005997377016	91.86354933	0.0003092564378
Iranian Investment Petrochemical Group	121.7644723	0.0005987261492	228.69	0.0007698794058
Keiyo Polyethylene	119.3016143	0.0005866160693	118.32	0.0003983214452
Xenel	116.1001888	0.0005708743909	107.0432	0.0003603583681
Jam Petrochemical	115.8324919	0.0005695581028	162.0325777	0.0005454787906
Siam Synthetic Latex	114.6122449	0.0005635580458	101.25	0.0003408556991
Inner Mongolia Coal	113.7811374	0.0005594714203	104.0246104	0.0003501963584
Sabic 	113.2811388	0.0005570128851	88.55	0.0002981014534
Regal	110.6994329	0.0005443184201	178.1451554	0.0005997213974
Navid Zar Chimi	110.6994329	0.0005443184201	118.7634369	0.0003998142649
Rompetrol	110.5837343	0.0005437495206	106.7280869	0.0003592975473
Ecofuel	108.8081348	0.0005350187484	100.32	0.0003377248764
APICORP	108.8081348	0.0005350187484	100.32	0.0003377248764
Kuwait Petroleum International	108.4656226	0.0005333345873	108.0378	0.0003637066652
Shas‌ta	107.3259998	0.0005277309661	239.3467322	0.0008057550393
Amir Kabir Petrochemical	106.6875226	0.0005245915197	98.321	0.0003309952908
Naftan	102.8410853	0.000505678264	177.5	0.0005975494972
Jiangsu GPRO Group	100.2018837	0.000492701088	92.07257657	0.000309960123
National Petrochemical Corporation	99.55462185	0.000489518447	112.9107692	0.0003801113994
Iranian National Development Investment	94.55473974	0.0004649336063	89.03064406	0.0002997195301
Europlast	93.14731707	0.0004580131907	69.74358974	0.0002347901239
Langang	91.85172673	0.000451642664	84.39986186	0.0002841301128
Haoda Chemical	91.09677555	0.0004479305056	95.39170859	0.0003211339015
Al Ahly Capital Holding	90.64194285	0.0004456940549	101.03625	0.0003401361149
Plastipak	90.21367668	0.0004435882342	89.58209125	0.0003015759639
S-Oil	89.80943215	0.0004416005298	398.6415756	0.001342017313
Pushineh Polymer Industrial Group	89.76761116	0.0004413948925	88.40117647	0.0002976004426
Paneuropean Oil & Industrial Holdings	87.22022094	0.0004288691606	81.96910274	0.0002759470205
Koksan	86.36861934	0.0004246817639	261.7319508	0.0008811143416
Petroquim	85	0.0004179521475	72	0.0002423862749
HIP Petrohemija	84.06240824	0.00041334193	181.754	0.0006118704863
Petroleum Ministry Pension Fund	83.99426075	0.0004130068431	81.66265996	0.0002749153882
Boubyan Petrochemical	83.75907031	0.0004118503919	83.7135	0.000281819492
Wuhe Plastics	83.50156976	0.00041058424	76.72714714	0.0002583001025
Tianda	83.50156976	0.00041058424	76.72714714	0.0002583001025
Shouguang Jianyuanchun Chemical	83.50156976	0.00041058424	76.72714714	0.0002583001025
Rizhao Guangxin Chemical Technology	83.50156976	0.00041058424	76.72714714	0.0002583001025
Jiangsu Xusheng Petrochemical	83.50156976	0.00041058424	76.72714714	0.0002583001025
Hunan Changsheng	83.50156976	0.00041058424	76.72714714	0.0002583001025
Huifeng Nonwoven	83.50156976	0.00041058424	76.72714714	0.0002583001025
Hengyuan Petrochemical	83.50156976	0.00041058424	76.72714714	0.0002583001025
Guangqing Group	83.50156976	0.00041058424	76.72714714	0.0002583001025
Dongfang Hongye Chemical	83.50156976	0.00041058424	76.72714714	0.0002583001025
Polisan	82.01243334	0.0004032620311	81.43826477	0.0002741599672
GS Holdings	79.83060635	0.0003925338043	272.6581513	0.0009178971336
Ube Industries	79.77481222	0.0003922594599	73.125	0.0002461735605
Maruzen Petrochemical	79.77481222	0.0003922594599	73.125	0.0002461735605
The TATA Group 	78.70651758	0.0003870065653	68.69886304	0.0002312730765
Kogaz	77.86292565	0.0003828585528	79.5719321	0.0002678770029
Libolon	77.81460252	0.0003826209439	63.4726146	0.0002136790363
Gujarat State Petroleum Corporation	77.39375389	0.0003805515958	67.42527638	0.0002269855775
SIDPEC	73.37836684	0.0003608076001	60.6	0.0002040084481
ECHEM	73.37836684	0.0003608076001	60.6	0.0002040084481
Turkmenneftegaz	70.1217469	0.000344794526	73.33245662	0.0002468719582
Iranian Civil Pension Fund Investment	69.03310285	0.0003394415716	63.61947059	0.0002141734235
Philippine Polypropylene Inc	68.75337143	0.0003380661087	65.7856	0.0002214656462
Tainan 	68.44803	0.0003365647192	55.83239247	0.0001879584115
Hellenic Republic Asset Development Fund	68.05094161	0.0003346122022	63.95391532	0.0002152993237
Sichuan Shengma Petrochemical	66.8012558	0.000328467392	61.38171771	0.000206640082
Jiangsu Huaneng Chemical	66.8012558	0.000328467392	61.38171771	0.000206640082
Hengxiang Chemical	66.8012558	0.000328467392	61.38171771	0.000206640082
Hengfa Chemical	66.8012558	0.000328467392	61.38171771	0.000206640082
Toray	66.57849803	0.0003273720733	57.44220522	0.0001933778076
